sep=;
New positions:;;;
Company name;ticker;#shares;weight(%)
COINBAcsSE GLOBAL INC -CLASS A;COINEW;3327123;10,87
Increased positions:;;;
Company name;ticker;#shares up%;weight(%)
ROKU INC;ROKU;368;7,18
BLOCK INC;SQ;52564;7,17
ROBLOX CORP -CLASS A;RBLX;8363;4,01
DRAFTKINGS INC-CL A;DKNG UW;0;3,07
INTELLIA THERAPEUTICS INC;NTLA;598567;2,66
GINKGO BIOWORKS HOLDINGS INC;DNA;113875729;1,86
ARCHER AVIATION INC-A;ACHR;6142073;1,14
GOLDMAN FS TRSY OBLIG INST 468;;21806883;0,36
CERUS CORP;CERS;8384836;0,33
2U INC;TWOU;3000000;0,03
Reduced positions:;;;
Company name;ticker;#shares down%;weight(%)
COINBASE GLOBAL INC -CLASS A;COIN;27513;10,87
TESLA INC;TSLA;47480;7,71
UIPATH INC - CLASS A;PATH;220;6,18
CRISPR THERAPEUTICS AG;CRSP;935;5,63
ZOOM VIDEO COMMUNICATIONS-A;ZM;5088;4,83
ROBINHOOD MARKETS INC - A;HOOD;5796;4,08
UNITY SOFTWARE INC;U;82970893;3,06
PALANTIR TECHNOLOGIES INC-A;PLTR;15;2,88
SHOPIFY INC - CLASS A;SHOP;3856872;2,78
BEAM THERAPEUTICS INC;BEAM;11871595;2,6
PAGERDUTY INC;PD;6551258;2,13
10X GENOMICS INC-CLASS A;TXG;35451659;1,93
TELADOC HEALTH INC;TDOC;1864620;1,93
RECURSION PHARMACEUTICALS-A;RXRX;25945317;1,76
TRADE DESK INC/THE -CLASS A;TTD;13838446;1,58
TWIST BIOSCIENCE CORP;TWST;7952334;1,51
EXACT SCIENCES CORP;EXAS;182546747;1,43
PINTEREST INC- CLASS A;PINS;15302933;1,32
META PLATFORMS INC-CLASS A;META;5517186;1,2
VERACYTE INC;VCYT;10824054;1,19
TWILIO INC - A;TWLO;12826656;1,1
TERADYNE INC;TER;5968568;1,06
PACIFIC BIOSCIENCES OF CALIF;PACB;571293;0,98
SOFI TECHNOLOGIES INC;SOFI;247481130;0,95
VERVE THERAPEUTICS INC;VERV;23194127;0,52
MODERNA INC;MRNA;3329779;0,5
PRIME MEDICINE INC;PRME;3293188;0,26
NATERA INC;NTRA;186584;0,22
